Item,ID,Name,Type,SKU,Options,"Inventory Tracking","Current Stock","Low Stock",Price,"Cost Price","Retail Price","Sale Price","Brand ID",Channels,Categories,Description,"Custom Fields","Page Title","Product URL","Meta Description","Search Keywords","Meta Keywords","Bin Picking Number",UPC/EAN,"Global Trade Number","Manufacturer Part Number","Free Shipping","Fixed Shipping Cost","Shipping Groups","Origin Locations","Dimensional Rules",Weight,Width,Height,Depth,"Is Visible","Is Featured",Warranty,"Tax Class","Product Condition","Show Product Condition","Sort Order","Variant Image URL","Internal Image URL (Export)","Image URL (Import)","Image Description","Image is Thumbnail","Image Sort Order","YouTube ID","Video Title","Video Description","Video Sort Order"
Product,118,"Tubería de intercooler Audi/Cupra/Seat/Volkswagen MQB 2.0T",physical,46-20414-B,,product,2,1,12120.00,0.00,0.00,10820.00,54,1;769857,273;279;280;293,"<p align=""justify"">Flujo y rendimiento: Las transiciones en el tubo de aluminio disminuyen la turbulencia y minimizan la p&eacute;rdida de presi&oacute;n, aumentando la potencia y el torque. El kit de tuber&iacute;a Blade Runner I/C proporciona una transici&oacute;n suave entre el turbo y el motor para temperaturas de funcionamiento m&aacute;s bajas y mayor potencia. Componentes premium: Este kit de tubos incluye abrazaderas de perno en T con resorte de acero inoxidable de alta calidad y acoplamientos de silicona reforzados con poli&eacute;ster de 5 capas para trabajo pesado para una resistencia y durabilidad superior. Apariencia personalizada: Acabado en pintura en electroest&aacute;tica negra con un exclusivo logotipo aFe Power grabado con l&aacute;ser para una apariencia personalizada.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li align=""justify"">Audi A3 (8V) 1.8T/2.0T TFSI 2015-2020</li>
<li align=""justify"">Audi S3 Quattro (8V) 2.0T 2015-2020</li>
<li align=""justify"">Seat Leon Cupra 2.0T TSI MK3 2015-2020</li>
<li align=""justify"">Volkswagen Golf GTI 2.0T MK7 2015-2020</li>
<li align=""justify"">Volkswagen Golf R 2.0T MK7 2015-2020</li>
</ul>",,,/tuberia-de-intercooler-audi-cupra-seat-volkswagen-mqb-2-0t/,,,,,,,,FALSE,400.00,,,,4.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/118/images/384/46-20414-B__28316.1729227691.386.513.jpg?c=1,,,TRUE,0,,,,
Product,121,"Silenciador XR-1 Racing Sportsman de 3''",physical,40085,,product,2,1,4210.00,0.00,0.00,3760.00,56,1;769857,213,"<p align=""justify"">Su tama&ntilde;o compacto es perfecto para aplicaciones con espacio limitado. Dise&ntilde;o reversible para flexibilidad de instalaci&oacute;n. El acero inoxidable T-304 de alta calidad nunca se oxida. Construcci&oacute;n 100% soldada para mayor resistencia. Dise&ntilde;o de flujo libre para un rendimiento mejorado. Material ac&uacute;stico de fibra de filamento continuo (CFF) de alta temperatura para control de sonido. El acabado natural del molino se puede cepillar o pulir antes de la instalaci&oacute;n. Sin lugar a dudas, las piezas de la l&iacute;nea XR-1&reg; de BORLA&reg; ofrecen el mejor equilibrio de sonido y potencia.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li align=""justify"">Universal</li>
</ul>",,,/silenciador-borla-xr-1-racing-sportsman-3/,,,,,,,,FALSE,400.00,,,,4.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/121/images/387/40085__34940.1729227691.386.513.jpg?c=1,,,TRUE,0,,,,
Product,122,"Silenciador ProXS de 2.5''",physical,40364,,product,2,1,3520.00,0.00,0.00,3140.00,56,1;769857,213,"<p align=""justify"">Dise&ntilde;o reversible para flexibilidad de instalaci&oacute;n. El acero inoxidable T-304 de alta calidad nunca se oxida. Construcci&oacute;n 100% soldada para mayor resistencia. Dise&ntilde;o de flujo libre para un rendimiento mejorado. Material ac&uacute;stico de fibra de filamento continuo (CFF) de alta temperatura para control de sonido. El acabado natural del molino se puede cepillar o pulir antes de la instalaci&oacute;n.</p>
<p>Aplicaciones:</p>
<ul>
<li>Universal</li>
</ul>",,,/silenciador-borla-proxs-de-2-5/,,,,,,,,FALSE,400.00,,,,4.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/122/images/388/40364__78023.1729227691.386.513.jpg?c=1,,,TRUE,0,,,,
Product,123,"Silenciador XR-1 Racing Sportsman de 2.5''",physical,40942,,product,2,1,4460.00,0.00,0.00,3990.00,56,1;769857,213,"<p align=""justify"">Su tama&ntilde;o compacto es perfecto para aplicaciones con espacio limitado. Dise&ntilde;o reversible para flexibilidad de instalaci&oacute;n. El acero inoxidable T-304 de alta calidad nunca se oxida. Construcci&oacute;n 100% soldada para mayor resistencia. Dise&ntilde;o de flujo libre para un rendimiento mejorado. Material ac&uacute;stico de fibra de filamento continuo (CFF) de alta temperatura para control de sonido. El acabado natural del molino se puede cepillar o pulir antes de la instalaci&oacute;n. Sin lugar a dudas, las piezas de la l&iacute;nea XR-1 de BORLA ofrecen el mejor equilibrio de sonido y potencia.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li>Universal</li>
</ul>",,,/silenciador-borla-xr-1-racing-sportsman-de-2-5/,,,,,,,,FALSE,400.00,,,,4.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/123/images/389/40942__94219.1729227691.386.513.jpg?c=1,,,TRUE,0,,,,
Product,124,"Silenciador S-Type de 2.5''",physical,40842S,,product,2,1,5290.00,0.00,0.00,4720.00,56,1;769857,213,"<p align=""justify"">Su tama&ntilde;o compacto es perfecto para aplicaciones con espacio limitado. Dise&ntilde;o reversible para flexibilidad de instalaci&oacute;n. El acero inoxidable T-304 de alta calidad nunca se oxida. Construcci&oacute;n 100% soldada para mayor resistencia. Dise&ntilde;o de flujo libre para un rendimiento mejorado. Material ac&uacute;stico de fibra de filamento continuo (CFF) de alta temperatura para control de sonido. El acabado natural del molino se puede cepillar o pulir antes de la instalaci&oacute;n.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li align=""justify"">Universal</li>
</ul>",,,/silenciador-borla-s-type-de-2-5/,,,,,,,,FALSE,400.00,,,,4.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/124/images/390/40842S__22278.1729227692.386.513.jpg?c=1,,,TRUE,0,,,,
Product,127,"Bomba de gasolina de 340LPH Subaru Impreza WRX/STi",physical,9-309-1008,,product,2,1,4560.00,0.00,0.00,4080.00,59,1;769857,243;307,"<p align=""justify"">Deatschwerks es una empresa profesional dedicada a crear soluciones para sistemas de combustible. Es por eso que cuando buscamos aumentar la potencia de nuestro Subaru, DW nos ofrece una bomba de gasolina de 340LPH (litros por hora) capaz de soportar etanol hasta un 85%, y adem&aacute;s incluye el kit de instalaci&oacute;n completo para actualizar los O-ring originales.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li align=""justify"">Subaru Impreza WRX 2.5T 2008-2014</li>
<li align=""justify"">Subaru Impreza WRX STi 2.5T 2008-2021</li>
</ul>",,,/bomba-de-gasolina-de-340lph-subaru-impreza-wrx-sti/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/127/images/393/9-309-1008__73863.1729227692.386.513.jpg?c=1,,,TRUE,0,,,,
Product,128,"Aislante de calor 36''x 20''",physical,10399,,product,2,1,1590.00,0.00,0.00,1420.00,60,1;769857,213,"<p align=""justify"">Heat Screen resuelve el problema del calor de los motores y los gases de escape que se introducen en los interiores y los componentes. Fabricado con un material de fibra de vidrio resistente a altas temperaturas y con un grosor de solo .060'', adem&aacute;s, cuenta con una barrera t&eacute;rmica en un lado hecha de una superficie mylar aluminizada reflectante superior, capaz de resistir el calor directo hasta 1200&deg;F. Calor Screen se puede usar para proteger &aacute;reas donde el calor excesivo puede ampollar la pintura, donde los tubos de escape corren cerca del tanque de combustible y tiene muchas otras aplicaciones que incluyen tablas del piso, paneles de la carrocer&iacute;a y debajo de alfombras. Cool Tape de DEI es ideal para sellar y cubrir costuras. Excelente protecci&oacute;n para superficies pintadas Soporta 1200&deg;F de calor directo. Se puede asegurar con adhesivo o sujetadores y recortar a la longitud deseada. Resistencia al calor directo: 1200&deg;F Resistencia al calor radiante: 2000&deg;F.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li>Universal</li>
</ul>",,,/aislante-de-calor-36x-20/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/128/images/395/010399__21895.1729227692.386.513.jpg?c=1,,,TRUE,0,,,,
Product,129,"Cinta térmica-reflectante de calor 2''x 60'' de aluminio",physical,10413,,product,2,1,1820.00,0.00,0.00,1620.00,60,1;769857,213,"<p style=""text-align: justify;"">Cool Tape es una cinta aislante t&eacute;rmica autoadhesiva, flexible y s&uacute;per fuerte capaz de proteger hasta 2000&deg;F de calor radiante. Hecha de un material aluminizado de una mil&eacute;sima de pulgada adherido a una estera tejida de fibra de vidrio resistente al calor. Cool Tape es una soluci&oacute;n ultraligera que refleja el calor para envolver alambres, cables, mangueras, l&iacute;neas de combustible, cubrir costuras y muchos otros usos. Soporta calor directo hasta 400&deg;F &Uacute;selo para asegurar paneles, sellar cajas de aire, envolver cableado y m&aacute;s Fuerte respaldo autoadhesivo &iexcl;Perfecto para darle a Reflect-A-Cool, Heat Screen, Floor &amp; Tunnel Shield II un aspecto de borde terminado! Resistencia al calor directo: 400&deg;FResistencia al calor radiante: 2000&deg;F.</p>
<p style=""text-align: justify;"">Aplicaciones:</p>
<ul>
<li style=""text-align: justify;"">Universal</li>
</ul>",,,/cinta-termica-reflectante-de-calor-2x-60-de-aluminio/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/129/images/396/010413__95782.1729227693.386.513.jpg?c=1,,,TRUE,0,,,,
Product,130,"Recubrimiento protector dorado 0.75''x 36''",physical,10914,,product,2,1,880.00,0.00,0.00,790.00,60,1;769857,213,"<p align=""justify"">Heat Sheath GOLD resuelve el problema del calor y las abrasiones que causan fallas en las l&iacute;neas, mangueras y cables. DEI Heat Sheath GOLD se fabrica a partir de nuestra laminaci&oacute;n de poliimida metalizada de alta temperatura, unida a una robusta 20 oz. Con base de fibra de vidrio tratada t&eacute;rmicamente, la l&iacute;nea DEI de fundas GOLD proteger&aacute; y mantendr&aacute; los componentes fr&iacute;os en las aplicaciones m&aacute;s exigentes. Capaz de reflejar el calor radiante hasta 800&deg;F, las mangas de l&iacute;nea DEI GOLD son la elecci&oacute;n perfecta para mantener las l&iacute;neas cr&iacute;ticas, las tomas de aire y las mangueras frescas y protegidas.</p>
<p align=""justify"">Caracter&iacute;sticas:</p>
<ul>
<li>20 oz. vidrio base tratado t&eacute;rmicamente</li>
<li>Laminaci&oacute;n de poliimida metalizada</li>
<li>Vidrio base clasificado a 1100&deg;F</li>
<li>Resistencia al calor radiante: 800&deg;F</li>
</ul>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li>Universal</li>
</ul>",,,/recubrimiento-protector-dorado-0-75x-36/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/130/images/397/10918__14371.1729227693.386.513.jpg?c=1,,,TRUE,0,,,,
Product,132,"EBC Yellowstuff balatas delanteras Audi/Seat/Cupra/Volkswagen R",physical,DP42127R,,product,2,1,4190.00,0.00,0.00,3740.00,58,1;769857,273;279;280;293,"<p align=""justify"">Las pastillas de freno EBC contienen fibras de aramida, estas son fibras de alto rendimiento hechas por el hombre, utilizadas ampliamente por su peso ligero, alta resistencia, resistencia a la abrasi&oacute;n y estabilidad t&eacute;rmica. Se utilizan como refuerzos en la protecci&oacute;n bal&iacute;stica (cascos y chalecos a prueba de balas, armadura de veh&iacute;culos), guantes resistentes al corte, aviones y partes estructurales marinas, correas de transmisi&oacute;n de potencia y, por supuesto, productos de fricci&oacute;n donde su alta resistencia al peso, estabilidad t&eacute;rmica y resistencia a la abrasi&oacute;n proporcionan ventajas sobre productos basados en fibra de acero m&aacute;s baratos.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li align=""justify"">Audi S3 Quattro (8V) 2.0T 2015-2020</li>
<li align=""justify"">Seat Leon Cupra 2.0T TSI MK3 2015-2020</li>
<li align=""justify"">Volkswagen Golf R 2.0T MK7 2015-2020</li>
</ul>",,,/ebc-yellowstuff-balatas-delanteras-audi-seat-cupra-volkswagen-r/,,,,,,,,FALSE,400.00,,,,4.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/132/images/402/DP42150R__31799.1729227693.386.513.jpg?c=1,,,TRUE,0,,,,
Product,133,"EBC Yellowstuff balatas delanteras Audi A3/Volkswagen GTI",physical,DP42150R,,product,2,1,3270.00,0.00,0.00,2920.00,58,1;769857,273;280,"<p align=""justify"">Las pastillas de freno EBC contienen fibras de aramida, estas son fibras de alto rendimiento hechas por el hombre, utilizadas ampliamente por su peso ligero, alta resistencia, resistencia a la abrasi&oacute;n y estabilidad t&eacute;rmica. Se utilizan como refuerzos en la protecci&oacute;n bal&iacute;stica (cascos y chalecos a prueba de balas, armadura de veh&iacute;culos), guantes resistentes al corte, aviones y partes estructurales marinas, correas de transmisi&oacute;n de potencia y, por supuesto, productos de fricci&oacute;n donde su alta resistencia al peso, estabilidad t&eacute;rmica y resistencia a la abrasi&oacute;n proporcionan ventajas sobre productos basados en fibra de acero m&aacute;s baratos.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li align=""justify"">Audi A3 (8V) 1.8T/2.0T TFSI 2015-2020</li>
<li align=""justify"">Volkswagen Golf GTI 2.0T MK7 2015-2020</li>
</ul>",,,/ebc-yellowstuff-balatas-delanteras-audi-a3-volkswagen-gti/,,,,,,,,FALSE,400.00,,,,4.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/133/images/400/DP42150R__50882.1729227689.386.513.jpg?c=1,,,TRUE,0,,,,
Product,136,"Inserto de soporte de motor de poliuretano Audi/Seat/Volkswagen 2.0T",physical,010935ECS07KT1,,product,2,1,2080.00,0.00,0.00,1850.00,61,1;769857,273;279;280,"<p align=""justify"">Nuestro inserto de buje poliuretano ECS Tuning ofrece una experiencia de conducci&oacute;n m&aacute;s atractiva, con una respuesta de aceleraci&oacute;n m&aacute;s n&iacute;tida y una pendiente reducida de la l&iacute;nea de transmisi&oacute;n sin aumentos significativos de sonido en la cabina.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li align=""justify"">Audi A3 (8V) 1.8T/2.0T TFSI 2015-2020</li>
<li align=""justify"">Audi S3 Quattro (8V) 2.0T 2015-2020</li>
<li align=""justify"">Seat Leon Cupra 2.0T TSI MK3 2015-2020</li>
<li align=""justify"">Volkswagen Golf GTI 2.0T MK7 2015-2020</li>
<li align=""justify"">Volkswagen Golf R 2.0T MK7 2015-2020</li>
</ul>",,,/inserto-de-soporte-de-motor-de-poliuretano-audi-seat-volkswagen-2-0t/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/136/images/404/010935ECS07KT1_1__69538.1729227690.386.513.png?c=1,,,TRUE,0,,,,
Image,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/136/images/405/010935ECS07KT1_2__90816.1729227690.386.513.png?c=1,,,FALSE,1,,,,
Product,137,"Mangueras de freno aceradas Mini Cooper S/JCW F56",physical,027615ECSKT1,,product,2,1,4510.00,0.00,0.00,4030.00,61,1;769857,244,"<p align=""justify"">Las l&iacute;neas de freno reforzadas con acero inoxidable ECS Exact-Fit brindan una parada m&aacute;s segura y confiable al mantener una presi&oacute;n de freno constante, una resistencia a la corrosi&oacute;n de larga duraci&oacute;n y una mayor protecci&oacute;n contra fallas.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li align=""justify"">Mini Cooper S F56 4L 2.0T 2014-2020</li>
</ul>",,,/mangueras-de-freno-aceradas-mini-cooper-s-jcw-f56/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/137/images/406/027615ECSKT1__00785.1729227690.386.513.png?c=1,,,TRUE,0,,,,
Product,138,"Válvula de alivio Audi/Seat/Volkswagen 1.2T/1.4T TSI",physical,T9430,,product,2,1,6230.00,0.00,0.00,5560.00,62,1;769857,273;279;280,"<p align=""justify"">Estos motores vienen de f&aacute;brica sin v&aacute;lvula de alivio de ning&uacute;n tipo, lo que da como resultado un aumento repentino del turbocompresor cada vez que se cierra el acelerador despu&eacute;s del impulso. GFB VTA reintroduce una v&aacute;lvula de purga en el sistema 1.2/1.4 TSI, que elimina la sobrepresi&oacute;n del compresor para proteger el turbo y ofrece el caracter&iacute;stico ""zumbido"" de purga al levantar el acelerador. Debido a que estos motores no funcionan con un sensor MAF, no hay posibilidad de problemas de conducci&oacute;n o de carga de combustible adversos. El VTA se engancha directamente en la tuber&iacute;a de carga del turbo, reemplazando un ensamblador de pl&aacute;stico corto con una secci&oacute;n mecanizada CNC de palanquilla en la que se monta el VTA. El kit tambi&eacute;n incluye una T de refuerzo y una manguera de vac&iacute;o que se engancha en uno de los puertos de vac&iacute;o del colector para generar una se&ntilde;al de vac&iacute;o para la v&aacute;lvula VTA. Todo el kit se puede instalar en minutos sin herramientas. Caracteristicas clave: Tecnolog&iacute;a TMS para una recuperaci&oacute;n de impulso m&aacute;s r&aacute;pida en el cambio de marchas y durante la modulaci&oacute;n del acelerador Capacidad de retenci&oacute;n de impulso mejorada Ventilaci&oacute;n de la atm&oacute;sfera para un sonido de escape Los kits de tornillos directo y simple incluyen todo lo que necesita para instalar Fabricado en Australia de acuerdo con ISO 9001.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li align=""justify"">Audi 1.2T/1.4T TSI 2014+</li>
<li align=""justify"">Seat 1.2T/1.4T TSI 2014+</li>
<li align=""justify"">Volkswagen 1.2T/1.4T TSI 2014+</li>
</ul>",,,/valvula-de-alivio-audi-seat-volkswagen-1-2t-1-4t-tsi/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/138/images/407/T9430__61627.1729227690.386.513.jpg?c=1,,,TRUE,0,,,,
